spell,cost,pick_pct,winrate_pct,ci_lo_pct,ci_hi_pct,lift,val_per_pt,n,verdict
harpoon,2,31.0,63.0,62.3,63.7,13.0,6.51,18592,strong
bulwark,2,23.5,60.3,59.4,61.1,10.3,5.13,14103,strong
brute,4,17.7,55.6,54.7,56.6,5.6,1.41,10611,strong
invisible,3,20.1,55.4,54.5,56.3,5.4,1.81,12067,strong
attack,2,44.6,52.8,52.2,53.4,2.8,1.42,26764,strong
blocker,4,18.0,52.0,51.1,53.0,2.0,0.50,10793,strong
poison,3,24.5,51.9,51.1,52.7,1.9,0.63,14729,strong
knockback,2,30.9,51.2,50.4,51.9,1.2,0.58,18555,strong
healer,4,17.7,45.8,44.8,46.7,-4.2,-1.06,10615,weak
mend,3,20.2,45.7,44.9,46.6,-4.3,-1.42,12141,weak
fireball,2,30.8,45.0,44.2,45.7,-5.0,-2.52,18479,weak
shelter,3,20.2,44.5,43.7,45.4,-5.5,-1.82,12105,weak
glyph,3,20.0,42.9,42.0,43.8,-7.1,-2.36,12017,weak
portal,3,20.0,42.8,41.9,43.7,-7.2,-2.39,12027,ai-unused
rewind,3,20.3,42.7,41.8,43.6,-7.3,-2.43,12168,weak
bomb,3,20.3,42.4,41.5,43.3,-7.6,-2.53,12168,weak
