composition,pick_pct,winrate_pct,ci_lo_pct,ci_hi_pct,n
Control+Support,17.0,56.1,55.1,57.0,10180
Control+Control,5.3,55.6,53.8,57.3,3170
Summoner+Support,9.3,55.2,53.9,56.5,5552
Summoner+Summoner,1.6,55.1,51.9,58.2,968
Control+Summoner,6.0,54.0,52.4,55.6,3593
Support+Support,13.0,53.0,51.9,54.1,7796
Aggro+Control,8.9,47.7,46.4,49.1,5330
Aggro+Summoner,4.9,46.6,44.8,48.4,2968
Summoner+Evasion,2.2,46.0,43.3,48.7,1346
Control+Evasion,4.0,45.8,43.8,47.8,2413
Aggro+Support,13.7,44.6,43.6,45.7,8212
Support+Evasion,6.4,44.1,42.5,45.6,3838
Aggro+Aggro,3.5,37.3,35.3,39.4,2110
Aggro+Evasion,3.4,35.0,32.9,37.1,2031
Evasion+Evasion,0.8,34.1,30.0,38.4,493
