row_comp,col_comp,winrate_pct,n
Aggro+Aggro,Aggro+Aggro,50.0,84
Aggro+Aggro,Aggro+Control,40.4,178
Aggro+Aggro,Aggro+Summoner,32.6,92
Aggro+Aggro,Aggro+Support,40.8,294
Aggro+Aggro,Aggro+Evasion,70.5,61
Aggro+Aggro,Control+Control,29.1,117
Aggro+Aggro,Control+Summoner,27.3,132
Aggro+Aggro,Control+Support,30.5,348
Aggro+Aggro,Control+Evasion,36.5,74
Aggro+Aggro,Summoner+Summoner,28.6,28
Aggro+Aggro,Summoner+Support,32.4,204
Aggro+Aggro,Summoner+Evasion,40.0,60
Aggro+Aggro,Support+Support,34.1,290
Aggro+Aggro,Support+Evasion,53.2,126
Aggro+Aggro,Evasion+Evasion,59.1,22
Aggro+Control,Aggro+Aggro,59.6,178
Aggro+Control,Aggro+Control,50.0,424
Aggro+Control,Aggro+Summoner,54.9,277
Aggro+Control,Aggro+Support,53.0,702
Aggro+Control,Aggro+Evasion,58.6,186
Aggro+Control,Control+Control,42.1,290
Aggro+Control,Control+Summoner,45.0,327
Aggro+Control,Control+Support,40.6,919
Aggro+Control,Control+Evasion,54.5,202
Aggro+Control,Summoner+Summoner,40.7,81
Aggro+Control,Summoner+Support,40.9,518
Aggro+Control,Summoner+Evasion,52.5,118
Aggro+Control,Support+Support,45.2,746
Aggro+Control,Support+Evasion,53.5,331
Aggro+Control,Evasion+Evasion,64.5,31
Aggro+Summoner,Aggro+Aggro,67.4,92
Aggro+Summoner,Aggro+Control,45.1,277
Aggro+Summoner,Aggro+Summoner,49.2,130
Aggro+Summoner,Aggro+Support,52.9,384
Aggro+Summoner,Aggro+Evasion,63.8,105
Aggro+Summoner,Control+Control,37.3,158
Aggro+Summoner,Control+Summoner,44.6,186
Aggro+Summoner,Control+Support,37.6,529
Aggro+Summoner,Control+Evasion,48.5,132
Aggro+Summoner,Summoner+Summoner,39.6,48
Aggro+Summoner,Summoner+Support,43.2,271
Aggro+Summoner,Summoner+Evasion,46.3,67
Aggro+Summoner,Support+Support,46.0,363
Aggro+Summoner,Support+Evasion,54.2,212
Aggro+Summoner,Evasion+Evasion,64.3,14
Aggro+Support,Aggro+Aggro,58.8,294
Aggro+Support,Aggro+Control,45.9,702
Aggro+Support,Aggro+Summoner,46.9,384
Aggro+Support,Aggro+Support,49.9,1166
Aggro+Support,Aggro+Evasion,61.2,291
Aggro+Support,Control+Control,39.7,423
Aggro+Support,Control+Summoner,38.0,498
Aggro+Support,Control+Support,38.9,1361
Aggro+Support,Control+Evasion,47.7,342
Aggro+Support,Summoner+Summoner,32.4,136
Aggro+Support,Summoner+Support,42.0,760
Aggro+Support,Summoner+Evasion,49.1,173
Aggro+Support,Support+Support,41.4,1130
Aggro+Support,Support+Evasion,46.7,486
Aggro+Support,Evasion+Evasion,57.6,66
Aggro+Evasion,Aggro+Aggro,29.5,61
Aggro+Evasion,Aggro+Control,40.3,186
Aggro+Evasion,Aggro+Summoner,35.2,105
Aggro+Evasion,Aggro+Support,38.5,291
Aggro+Evasion,Aggro+Evasion,50.0,78
Aggro+Evasion,Control+Control,33.0,106
Aggro+Evasion,Control+Summoner,33.9,118
Aggro+Evasion,Control+Support,28.4,348
Aggro+Evasion,Control+Evasion,45.5,77
Aggro+Evasion,Summoner+Summoner,32.3,31
Aggro+Evasion,Summoner+Support,29.7,202
Aggro+Evasion,Summoner+Evasion,39.6,48
Aggro+Evasion,Support+Support,26.7,240
Aggro+Evasion,Support+Evasion,47.5,120
Aggro+Evasion,Evasion+Evasion,50.0,20
Control+Control,Aggro+Aggro,70.1,117
Control+Control,Aggro+Control,57.6,290
Control+Control,Aggro+Summoner,62.7,158
Control+Control,Aggro+Support,59.1,423
Control+Control,Aggro+Evasion,67.0,106
Control+Control,Control+Control,50.0,184
Control+Control,Control+Summoner,51.9,187
Control+Control,Control+Support,48.9,526
Control+Control,Control+Evasion,62.2,135
Control+Control,Summoner+Summoner,61.2,49
Control+Control,Summoner+Support,52.2,293
Control+Control,Summoner+Evasion,69.0,71
Control+Control,Support+Support,52.1,413
Control+Control,Support+Evasion,54.2,192
Control+Control,Evasion+Evasion,46.2,26
Control+Summoner,Aggro+Aggro,72.7,132
Control+Summoner,Aggro+Control,54.7,327
Control+Summoner,Aggro+Summoner,54.8,186
Control+Summoner,Aggro+Support,61.4,498
Control+Summoner,Aggro+Evasion,66.1,118
Control+Summoner,Control+Control,46.5,187
Control+Summoner,Control+Summoner,50.0,252
Control+Summoner,Control+Support,43.5,561
Control+Summoner,Control+Evasion,55.8,138
Control+Summoner,Summoner+Summoner,46.3,54
Control+Summoner,Summoner+Support,50.6,338
Control+Summoner,Summoner+Evasion,61.7,81
Control+Summoner,Support+Support,48.9,440
Control+Summoner,Support+Evasion,64.5,245
Control+Summoner,Evasion+Evasion,75.0,36
Control+Support,Aggro+Aggro,69.0,348
Control+Support,Aggro+Control,59.0,919
Control+Support,Aggro+Summoner,62.0,529
Control+Support,Aggro+Support,60.5,1361
Control+Support,Aggro+Evasion,71.0,348
Control+Support,Control+Control,50.6,526
Control+Support,Control+Summoner,55.8,561
Control+Support,Control+Support,49.5,1726
Control+Support,Control+Evasion,57.3,412
Control+Support,Summoner+Summoner,51.1,182
Control+Support,Summoner+Support,50.4,957
Control+Support,Summoner+Evasion,55.4,222
Control+Support,Support+Support,53.4,1321
Control+Support,Support+Evasion,57.7,685
Control+Support,Evasion+Evasion,71.1,83
Control+Evasion,Aggro+Aggro,63.5,74
Control+Evasion,Aggro+Control,44.1,202
Control+Evasion,Aggro+Summoner,50.8,132
Control+Evasion,Aggro+Support,51.8,342
Control+Evasion,Aggro+Evasion,49.4,77
Control+Evasion,Control+Control,37.0,135
Control+Evasion,Control+Summoner,41.3,138
